model,calls,prompt_tokens,completion_tokens,reasoning_tokens,prompt_cost,completion_cost,total_cost
o4-mini-2025-04-16,12,85042,52924,28032,0.09354620000000001,0.2328656,0.32641180000000003
ALL,12,85042,52924,28032,0.09354620000000001,0.2328656,0.32641180000000003
