model,calls,prompt_tokens,completion_tokens,reasoning_tokens,prompt_cost,completion_cost,total_cost
o4-mini-2025-04-16,12,84982,54071,23168,0.09348020000000001,0.23791240000000002,0.3313926
ALL,12,84982,54071,23168,0.09348020000000001,0.23791240000000002,0.3313926
